Entity; Entity_Count
National_Weather_Service; 58
Montana_Lady_Griz_basketball; 58
Mental_health; 58
Memory; 58
Importance; 58
Emergency_evacuation; 58
East_Africa_Time; 58
Anchorage%2C_Alaska; 58
American_football_positions; 58
Vow; 57
Statistics; 57
Slide_show; 57
Republican_Party_presidential_debates%2C_2016; 57
Profit_%28economics%29; 57
Pipeline_transport; 57
Minimum_wage; 57
Mentorship; 57
Measure_%28mathematics%29; 57
Marriage_proposal; 57
Instagram; 57
Headline; 57
Gaels; 57
Folks%21; 57
Engagement; 57
Drinking; 57
Document; 57
Believe_%28TV_series%29; 57
2M_TV; 57
Welter_Racing; 56
Tribute; 56
Tom_Brady; 56
Sun; 56
Stadium; 56
Racism; 56
Probation; 56
Petition; 56
Mexicans; 56
LNK_%28television_station%29; 56
Kobe_Bryant; 56
Ithaca; 56
Inauguration; 56
Federal_Reserve_System; 56
Elmira%2C_New_York; 56
Drug_lord; 56
Dance_music; 56
Charity_%28practice%29; 56
Cam_Newton; 56
Big_Ten_Conference; 56
Autism; 56
.um; 56
World_War_II; 55
United_States_Marine_Corps; 55
Una_%28Sava%29; 55
Technology; 55
Sport_utility_vehicle; 55
Self-harm; 55
Person; 55
Opportunity_%28rover%29; 55
Milwaukee_Bucks; 55
Lion; 55
Lima; 55
Lafayette%2C_Louisiana; 55
Jewellery; 55
Internet; 55
Houston; 55
Harrisburg%2C_Pennsylvania; 55
Finance; 55
College; 55
Christian; 55
Charter_school; 55
Ballot; 55
Arizona_Wildcats_football; 55
Academy; 55
ACT_%28test%29; 55
Wild_%28film%29; 54
Veto; 54
Tom_Coughlin; 54
Sworn_In_%28band%29; 54
Sentence_%28law%29; 54
Saw_%28franchise%29; 54
RAID; 54
Quincy%2C_M.E.; 54
Mourning; 54
Miami-Dade_County%2C_Florida; 54
Islamic_state; 54
Information; 54
Google; 54
Flight_%282012_film%29; 54
Express%2C_Inc.; 54
Employee_benefit; 54
Creativity; 54
Chuck_Pagano; 54
Cerebral_palsy; 54
Caucus; 54
Cam; 54
Bowling; 54
